id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
11406948,Dormitorio privado en las Condes,59395314,Catharine,,Las Condes,-33.41729,-70.55604,Private room,36292,1,0,,,1,364,0,
11406999,Downtown: Subway Santa Lucia,31297277,Valentina,,Santiago,-33.44418,-70.64449,Entire home/apt,35000,1,183,2021-08-02,2.65,5,353,5,
11412924,"Estudio ,Parking,  Metro Manquehue.",50190637,Carmen,,Las Condes,-33.41168,-70.57117,Entire home/apt,31000,3,186,2019-09-28,2.73,3,179,0,
11414609,Se arrienda Apart hotel,59931628,Rodrigo,,Independencia,-33.42361,-70.65607,Entire home/apt,40000,4,0,,,1,365,0,
11428445,Beautiful studio in the center,60036768,Felipe,,Santiago,-33.44035,-70.65194,Entire home/apt,22539,4,90,2021-03-27,1.33,1,59,15,
11433972,Very Private Bedroom'n'Bathroom (Los Leones metro),60065721,Huaira,,Providencia,-33.43169,-70.60294,Private room,14623,1,106,2019-11-06,1.55,1,298,0,
11438622,Altiplano,28227185,Altigonia,,Providencia,-33.42361,-70.61128,Entire home/apt,47000,3,30,2019-05-19,0.47,4,267,0,
11440836,Habitacion amplia amoblada,60125958,Alejandro,,Santiago,-33.45286,-70.65159,Private room,18000,2,0,,,1,90,0,
11457372,"Ubicación, comodidad, paisaje",60235026,José,,Recoleta,-33.434,-70.64023,Entire home/apt,40621,1,19,2017-12-15,0.28,1,359,0,
11457635,GREAT LARGE ROOM,60248858,Alex,,Santiago,-33.45242,-70.6519,Private room,18000,1,0,,,1,365,0,
